oniguruma (6.9.10-1)
openal (1.25.1-1)
opencore-amr (0.1.6-2)
openexr (3.4.5-1)
openh264 (2.6.0-2)
openjpeg2 (2.5.4-1)
openssh (10.2p1-2)
openssl (3.6.1-1)
opus (1.6.1-1)
orc (0.4.42-1)
os-prober (1.84-1)
p11-kit (0.26.2-1)
pacman (7.1.0.r9.g54d9411-1)
pacman-mirrorlist (20260213-1)
pahole (1:1.31-2)
pam (1.7.2-2)
pambase (20250719-1)
pango (1:1.57.0-2)
pangomm (2.46.4-1)
pangomm-2.48 (2.56.1-1)
papirus-icon-theme (20250501-1)
patch (2.8-1)
pavucontrol (1:6.2-1)
pciutils (3.14.0-1)
pcre2 (10.47-1)
pcre (8.45-4)
pcsclite (2.4.1-1)
perl (5.42.0-1)
perl-error (0.17030-3)
perl-mailtools (2.22-3)
perl-timedate (2.33-9)
pinentry (1.3.2-2)
pipewire (1:1.4.10-2)
pipewire-alsa (1:1.4.10-2)
pipewire-audio (1:1.4.10-2)
pipewire-jack (1:1.4.10-2)
pipewire-pulse (1:1.4.10-2)
pipewire-session-manager (1:1.4.10-2)
pixman (0.46.4-1)
pkgconf (2.5.1-1)
playerctl (2.4.1-5)
polkit (127-3)
poppler (26.02.0-2)
poppler-glib (26.02.0-2)
popt (1.19-2)
portaudio (1:19.7.0-3)
pps-tools (1.0.3-2)
procps-ng (4.0.6-1)
psmisc (23.7-1)
pugixml (1.15-3)
python (3.14.3-1)
python-tqdm (4.67.3-1)
qrencode (4.1.1-4)
qt6-base (6.10.2-1)
qt6-declarative (6.10.2-1)
qt6-translations (6.10.2-1)
raptor (2.0.16-9)
rav1e (0.8.1-2)
re2 (2:2025.11.05-1)
readline (8.3.003-1)
rhash (1.4.6-1)
ripgrep (15.1.0-2)
rofi (2.0.0-1)
rtkit (0.14-1)
rtmpdump (1:2.6-1)
rubberband (4.0.0-1)
sbc (2.2-1)
sdbus-cpp (2.2.1-1)
sddm (0.21.0-6)
sdl2-compat (2.32.64-1)
sdl3 (3.4.2-1)
seahorse (1:47.0.1-6)
seatd (0.9.2-1)
sed (4.9-3)
serd (0.32.8-1)
shaderc (2026.1-2)
shadow (4.18.0-1)
shared-mime-info (2.4-3)
slang (2.3.3-4)
slurp (1.5.0-1)
snappy (1.2.2-3)
sndio (1.10.0-1)
sord (0.16.22-1)
sound-theme-freedesktop (0.8-6)
soundtouch (2.4.0-1)
spandsp (0.0.6-7)
spdlog (1.17.0-2)
speex (1.2.1-2)
speexdsp (1.2.1-2)
spirv-tools (1:1.4.341.0-2)
spotify (1:1.2.82.428-1)
sqlite (3.51.2-1)
sratom (0.6.22-1)
srt (1.5.4-1)
startup-notification (0.12-9)
steam (1.0.0.85-3)
steam-devices (1.0.0.85-3)
sudo (1.9.17.p2-2)
svt-av1 (4.0.1-1)
svt-hevc (1.5.1-3)
swappy (1.8.0-1)
swaync (0.12.4-1)
swww (0.11.2-1)
systemd (259.1-1)
systemd-libs (259.1-1)
systemd-sysvcompat (259.1-1)
taglib (2.2-1)
tar (1.35-2)
tdb (1.4.15-1)
teamspeak (6.0.0beta3.4-1)
teamspeak-debug (6.0.0beta3.4-1)
tela-circle-icon-theme-git (2025.02.10.r107.gbdb616e-1)
texinfo (7.2-1)
thunar (4.20.7-1)
tinysparql (3.10.1-2)
tomlplusplus (3.4.0-1)
tpm2-tss (4.1.3-1)
tslib (1.24-1)
ttf-input-nerd (3.4.0-3)
ttf-jetbrains-mono-nerd (3.4.0-2)
tumbler (4.20.1-1)
twolame (0.4.0-4)
tzdata (2025c-1)
uchardet (0.0.8-3)
upower (1.91.1-1)
usbutils (019-1)
util-linux (2.41.3-2)
util-linux-libs (2.41.3-2)
v4l-utils (1.32.0-1)
vapoursynth (73-2)
vesktop-bin (1.6.5-1)
vid.stab (1.1.1-2)
visual-studio-code-bin (1.109.5-1)
vmaf (3.0.0-2)
vulkan-headers (1:1.4.341.0-1)
vulkan-icd-loader (1.4.341.0-1)
vulkan-mesa-implicit-layers (1:25.3.5-1)
vulkan-radeon (1:25.3.5-1)
wavpack (5.9.0-1)
waybar (0.15.0-2)
wayland (1.24.0-1)
wayland-protocols (1.47-1)
webkit2gtk (2.50.5-1)
webrtc-audio-processing-1 (1.3-5)
whatsapp-for-linux-git (1.7.0.r7.ga2d3732-1)
whatsapp-for-linux-git-debug (1.7.0.r7.ga2d3732-1)
which (2.23-1)
wildmidi (0.4.6-1)
wine (11.3-1)
wine-gecko (2.47.4-2)
wine-mono (11.0.0-1)
wine-staging (11.3-1)
wireplumber (0.5.13-1)
wl-clipboard (1:2.2.1-3)
woff2 (1.0.2-6)
wpa_supplicant (2:2.11-5)
x264 (3:0.165.r3222.b35605a-2)
x265 (4.1-1)
xcb-imdkit (1.0.9-1)
xcb-proto (1.17.0-4)
xcb-util (0.4.1-2)
xcb-util-cursor (0.1.6-1)
xcb-util-errors (1.0.1-2)
